glossary_he	citation	match	closest_A_prime_identifier
הסכום המזערי לגמול ממונה שכבה	2022 § 10.2 heading 'גמול ממונה (רכז) שכבה'; § 10.2.1.2 '1,100 ₪'	PARTIAL	ממונה שכבה
הסכום המזערי לגמול חינוך כיתה	2022 § 10.1 heading 'גמול חינוך'; § 10.1.1.2 '1,000 ₪'	NONE	שיעור גמול חינוך לכיתה שאינה כיתה א'
חלקיות המשרה	§ 27(g) 'מורה שחלקיות משרתו'. Paired with היקף המשרה (the record field) so the two stay distinct — see the naming note	EXACT	חלקיות המשרה
השכר המשולב המלא	§ 39(b) 'שכר משולב למשרה מלאה'. Kept distinct from השכר המשולב למשרה מלאה, which is the table lookup in ofek-salary-table	PARTIAL	השכר המשולב של
בסיס הגמולים האחוזיים למשרה מלאה של	§ 39(b) + 2022 § 5.4	PARTIAL	בסיס התוספות האחוזיות למשרה מלאה
תוספת אופק המלאה	2022 § 5.3 'בהשוואה לעובד הוראה במשרה מלאה'	PARTIAL	תוספת אופק 2022
שבוע העבודה למשרה מלאה של ממונה שכבה לפי	§§ 15, 17 'המשמש בתפקיד של ממונה שכבה'	PARTIAL	שבוע העבודה למשרה מלאה — סעיפים 15 עד 22
סך השעות של	§ 15(a) 'שבוע העבודה בבית הספר יהיה בהיקף של 36 שעות'	PARTIAL	סך השעות שבשורה
השעות בחודש של משרה מלאה	§ 31(b) 'הבסיס לחישוב ערך שעה ל-100% משרה'	PARTIAL	מספר השעות הפרונטאליות מעל משרה מלאה
השעות בשבוע של משרה מלאה	§ 31(b), same formula	PARTIAL	מספר השעות הפרונטאליות מעל משרה מלאה
השעות ביום	§ 33(c)(2)	ALL-WORDS	תקרת השעות ביום ו'
השעות בשבוע	§ 33(c)(2)	ALL-WORDS	תקרת השעות בשבוע
שנת ההתמחות	§ 37(a) 'לא כולל תקופת ההתמחות'; § 7(i)(2) calls it 'שנת סטאז׳'	NONE	שנות ההתמחות
היקף המשרה הרגיל המרבי	§ 33(a) 'בהיקף משרה של עד 100% בלבד'	PARTIAL	היקף המשרה
היום האחרון של תקופת ההפחתה הראשונה	2026 § 9(a) 'ועד יום 31.12.2025'	NONE	שורות התלוש לפני ההפחתה של
היום האחרון של שנת הלימודים	31 August; the vaadat maakav decision of 19.9.2010 treats 'ביום 31 באוגוסט' as the last day of the employment year. The agreements define no closing date in terms, so the note is part of the claim	NONE	השיבוץ של
היום האחרון של תקופת ההפחתה השנייה	2026 § 9(b) 'ועד יום 31.12.2026'	NONE	שורות התלוש לפני ההפחתה של
החודש האחרון שבו נשלל קידום הוותק	2026 § 16 'ועד חודש דצמבר 2025 (כולל)'	NONE	הוותק
יום העבודה הארוך ביותר המותר בחריג ארבעת הימים	§ 14 'ובלבד שיום העבודה שלו לא יארך יותר מ-9 שעות'	NONE	עומד בתקרת יום העבודה שבסעיף 32(א)
היום הארוך ביותר מעבר למשרה מלאה	§ 33(c)(2) 'לא יעלה על 8.5 שעות ביום אחד, בימים א׳ עד ה׳'	PARTIAL	שעות מעבר למשרה מלאה במקרה 13
יום השישי הארוך ביותר מעבר למשרה מלאה	§ 33(c)(2) 'וביום ו׳ - 5 שעות'	NONE	שעות מעבר למשרה מלאה במקרה 13
השבוע הארוך ביותר מעבר למשרה מלאה	§ 33(c)(2) 'וכן לא יעלה על 42 שעות בשבוע אחד'	PARTIAL	שעות מעבר למשרה מלאה במקרה 13
מתקיימים הקריטריונים של משרד החינוך	§ 38(a)(2) 'עמידה בקריטריונים שנקבעו על-ידי משרד החינוך'	NONE	עמד בקריטריוני משרד החינוך
הבסיס החודשי לעניין	§ 31(a) 'הבסיס לחישוב ערך שעה'	NONE	הבסיס
השכר החודשי לפני ההפחתה של	2026 § 18 'כאילו שולמו במועדם וללא ההפחתה'	PARTIAL	השכר החודשי הרגיל של
השכר החודשי של	2026 § 8 '"משכורת"'	ALL-WORDS	השכר החודשי הרגיל של
הפחתת השכר החודשית לפי	2026 § 9 'תופחת משכורתו של עובד הוראה'	PARTIAL	הפחתת השכר של
מספר יחידות הגמול המרבי לתפקיד בית ספרי	2022 § 22.2, same sentence	NONE	מספר בתי הספר המרבי
שם השורה בתלוש המשכורת	2026 § 17 'ויכונה "חוק הת. כלכלית אופק"'	NONE	השורה
שנת הפתיחה	record field; § 44(b)(4) 'תחילת שנת הלימודים (1 בספטמבר)' — a school year is identified by the year it opens in	NONE	שנות שהייה אילו נספרה גם שנת חל"ת
שבוע העבודה הרגיל למשרה מלאה לפי	§§ 15(a), 17(a)	PARTIAL	שבוע העבודה למשרה מלאה — סעיפים 15 עד 22
שעות אסיפת הורים וילדים	§ 30(c)	PARTIAL	אסיפת הורים וילדים פרטנית
שעות אסיפת הורים וילדים המותרות במחצית	§ 30(c) 'אסיפת הורים וילדים פרטנית (עד 8 שעות במחצית)'	PARTIAL	אסיפת הורים וילדים פרטנית
התמורה לשעה נוספת אחת כאשר	§§ 29, 30 'התמורה עבור'	NONE	כאשר המכסה
התמורה לשעה הנוספת לפי סעיף 25	2026 § 25	NONE	הוותק לפי סעיף 37(א) של
התשלום	2026 § 18 'התשלומים המפורטים להלן'	NONE	
הסכום האחוזי	2022 § 10.6 'הגמול האחוזי'	PARTIAL	הסכום
התקופה	§ 37, § 38(c) 'תקופות שהייה'	EXACT	התקופה
התקופה נחשבת ותק מוכר	§ 37(a) 'ותק מוכר'	NONE	ותק מוכר — הסכם הבסיס סעיף 37
המשרות המשובצות כבר באותה דרגה	§ 38(g) 'מספר המשרות המשובצות בדרגות 7 עד 9'	NONE	שיעור המשרות המשובצות בדרגה 7 במקרה 18
המשרות המשובצות כבר בדרגה המבוקשת	§ 38(g)	PARTIAL	שיעור המשרות המשובצות בדרגה 7 במקרה 18
מנהל בית הספר מסכים	§ 14 'בהסכמת מנהל בית הספר'	PARTIAL	מנהל בית הספר הסכים
העניין	§ 31(a) 'לעניין'	NONE	
המכסה מתירה את הקידום	§ 38(g)-(i) 'מכסה'	NONE	כאשר המכסה
הדרגה	§§ 36, 38 'דרגה' (darga), definite	EXACT	הדרגה
הדרגה שבה מתחיל מורה חדש אקדמאי	§ 36(a) 'ישובצו בטבלאות השכר בדרגה 1 ובותק 0'	NONE	מורה חדש
הדרגה מוקצבת במכסה	§ 38(g)-(i) 'מכסה פנויה'; 'מספר המשרות המשובצות בדרגות 7 עד 9 לא יעלה'	NONE	הדרגה
שיעור התמורה לפעילות בית ספרית	§ 30(a) 'בשיעור של 125% כפול ערך שעה'	PARTIAL	שיעור תמורת פעילות בית ספרית
שיעור התמורה לשעת מילוי מקום	§ 29(b) 'בשיעור של 125% כפול ערך שעה'	PARTIAL	שיעור תמורת מילוי מקום
שיעור התמורה לשעה מעבר למשרה מלאה	§ 33(c)(3) 'בשיעור של 100% כפול ערך שעה'	PARTIAL	שעות מעבר למשרה מלאה במקרה 13
שיעור התמורה הרגילה לשעת שהייה	§ 29(d) 'התמורה הרגילה עבור אותה שעת שהיה (100%)'	NONE	שהייה
שיעור ההפחתה בתקופה הראשונה	2026 § 9(a) 'בשיעור של 0.95% מהבסיס הקובע'	ALL-WORDS	שיעור ההפחתה המוסכם בתקופה הראשונה
שיעור ההפחתה בתקופה השנייה	2026 § 9(b) 'בשיעור של 1.2% מהבסיס הקובע'	ALL-WORDS	שיעור ההפחתה המוסכם בתקופה השנייה
שיעור התמורה לשעה הנוספת לפי סעיף 25	2026 § 25 'ישולם לעובדי ההוראה 25% מערך שעת עבודתו'	NONE	הוותק לפי סעיף 37(א) של
הוותק המוכר הקודם	§ 36(a) 'מורה חדש אקדמאי בעל ותק מוכר'	PARTIAL	הוותק המוכר
דמי הבראה	2026 § 8(b) 'דמי הבראה'	EXACT	דמי הבראה
ההפחתה אינה באה בחשבון בחישוב	2026 § 18 'לא תבואנה בחשבון בעניינים המפורטים להלן'	NONE	 כשהיא באה מיד אחרי 
שיעור ההפחתה לפי תאריך	2026 § 9	PARTIAL	שיעור ההפחתה לפי חוק בתקופה הראשונה
התפקיד	§ 39(a) 'בגין מילוי התפקידים הבאים'	EXACT	התפקיד
גמול התפקיד עבור	§ 39(a) 'גמול תפקיד'	PARTIAL	בסיס גמול התפקיד
מספר גמולי התפקיד שמורה רשאי לקבל	§ 39(c) 'זכאי, לכל היותר ... לשני גמולי תפקיד'	PARTIAL	מספר גמולי התפקיד הנמנים במקרה 9
גמולי התפקיד נכללים בבסיס ערך השעה לעניין	§ 31(a)(2)-(4) 'השכר המשולב וגמולי התפקיד המובאים בחשבון'	NONE	ערך השעה
גמולי התפקיד המשתלמים עבור	§ 39(a) 'זכאי לגמול תפקיד'	PARTIAL	סך גמולי התפקיד
מספר התפקידים הממולאים	§ 39(c) 'בגין מילוי תפקידים כאמור'	PARTIAL	מספר התפקידים הנמנים במקרה 10
שעות הפעילות הבית ספרית המותרות במחצית	§ 30(a) 'מספר שעות שלא יעלה על 18 שעות בכל מחצית של שנת הלימודים'	NONE	תקרת שעות פעילות בית ספרית במחצית
בית הספר כבר הנהיג שבוע של חמישה ימים	§ 14 'בבית-ספר בו הונהג שבוע לימודים של 5 ימים'	PARTIAL	בבית הספר הונהג שבוע לימודים של חמישה ימים
שנת הלימודים	parameter; § 26(d) 'באותה שנת הלימודים'	NONE	חודשי הלימודים
שנת הלימודים שנפתחת בשנת	constructor; 2022 § 22.1 'שנת הלימודים תשפ"ו (המתחילה ביום 1.9.2025)'	NONE	התקופה בשנת הלימודים תשפו
שנות הלימודים שחלפו בין	§ 37 measures seniority in teaching years, which are school years	NONE	חודשי הלימודים
גמול התפקיד הבית ספרי עבור	2022 § 22 'גמול תפקיד בית ספרי'	NONE	בסיס גמול התפקיד
גמול התפקיד הבית ספרי המשתלם עבור	2022 § 22	NONE	בסיס גמול התפקיד
שלילת קידום הוותק לפי סעיף 16 לפי	2026 § 16	PARTIAL	הוותק לפי סעיף 37(א) של
שיעור הגמול לפי סעיף 39 עבור	§ 39(a) 'בשיעור הקבוע לכל תפקיד'	NONE	הוותק לפי סעיף 37(א) של
הוותק	§ 37 'ותק בהוראה'; table margin 'ותק', definite	EXACT	הוותק
הוותק שבו משובץ מורה חדש אקדמאי בעל ותק מוכר של	§ 36(a) 'ישובץ בהתאם לויתקו האמור'	PARTIAL	ותק השיבוץ הראשוני של מורה חדש אקדמאי בעל ותק
הוותק שבו מתחיל מורה חדש אקדמאי	§ 36(a), same sentence	NONE	מורה חדש
הוותק הצבור בשנת הלימודים	§ 37 'ותק מוכר לצורך התקדמות בותק'	NONE	התקופה בשנת הלימודים תשפו
הוותק בכניסה	§ 36(a) 'ישובצו ... בותק 0'	PARTIAL	הוותק
הוותק שהוכר ערב המעבר	§ 37(b) 'כל שנות הותק בהוראה אשר הוכרו לצורך שכרו ערב המעבר שלו'	NONE	הוותק
קידום הוותק נשלל בתאריך	2026 § 16	NONE	הוותק
שיעור כלל המשרות של עובדי הוראה שהמכסה מתירה בדרגה	§ 38(g) 'בדרגה 7 — 10% מכלל המשרות של עובדי הוראה'	NONE	שיעור המשרות המשובצות בדרגה 7 במקרה 18
הסכום השקלי המזערי עבור	2022 § 10 'סכום שקלי מינימלי'	NONE	הסכום
השורה האחת בתלוש המשכורת עבור	2026 § 17	NONE	השורה
היקף המשרה המזערי למורה חדש ללא אישור	§ 27(c) 'לא יועסק בחלקיות משרה הנמוכה מ-50% אלא אם ... אושרו על ידי מנהל אגף כוח אדם בהוראה'	NONE	היקף המשרה
היקף המשרה המזערי ברפורמה	§ 27(a) 'בהיקף משרה שאינו נמוך מ-1/3 משרה'	PARTIAL	היקף המשרה
היקף המשרה המזערי המזכה בגמול תפקיד	§ 39(b) 'ובלבד שעובד ההוראה הועסק ב-1/3 משרה לפחות'	NONE	היקף המשרה
היקף המשרה המזערי המזכה בגמול תפקיד בית ספרי	2022 § 22.9 'ובלבד שהועסק בחלקיות של שליש משרה (33.33%) ומעלה'	NONE	היקף המשרה
הבסיס לקרן השתלמות	2026 § 12 'הבסיס לחישוב הסכומים המשולמים בעד עובד ההוראה לקרן השתלמות'	NONE	הבסיס
הבסיס לקרן השתלמות לאחר ההפחתה	2026 § 12, same sentence	NONE	הבסיס
הטבלה	§ 35 'טבלת השכר', definite	ALL-WORDS	שכר מן הטבלה לפי
הטבלה שבה משובץ	§ 36 'שיבוץ בטבלאות השכר' — 'ישובץ בטבלת השכר'	NONE	שכר מן הטבלה לפי
המורה	§ 7(b) 'מורה', definite	EXACT	המורה
המורה התקדם בוותק בספטמבר 2025	2026 § 16 'עובד הוראה אשר זכאי לקידום בוותק ... במשכורת חודש ספטמבר 2025'	NONE	המורה
המורה המתין ככל שסעיף 38(i) מתיר	§ 38(i)	NONE	המורה
המורה בעל תואר שלישי	§ 36(d) 'מורה בעל תואר שלישי'	PARTIAL	בעל תואר שלישי
למורה יש תעודת הוראה או הסמכה להוראה	§ 36(e) 'אשר אינו בעל תעודת הוראה או הסמכה להוראה'	PARTIAL	בעל תעודת הוראה או הסמכה
המורה הוא אקדמאי	§ 7(d) 'מורה אקדמאי'	NONE	המורה
המורה בתפקיד פארא-רפואי או מורה משלב	§ 27(e) 'מורה המועסק בתפקיד פארא רפואי או כמורה משלב/ת'	NONE	מורה משלב
ניתן לקדם את המורה	§ 38 'ניתן לקדם מורים'	NONE	המורה
המורה רשאי להמשיך לעבוד ארבעה ימים	§ 14 'יהיה רשאי ... להמשיך לעבוד 4 ימים בשבוע'	PARTIAL	רשאי להמשיך לעבוד ארבעה ימים בשבוע
המורה עומד בתנאי הקידום	§ 38(a),(e) 'התנאים המצטברים לקידום'	NONE	המורה
המורה עבד ארבעה ימים ערב המעבר	§ 14 'ערב המעבר לרפורמה עבד 4 ימים בשבוע'	ALL-WORDS	המורה עבד ארבעה ימים ערב המעבר לרפורמה
המורה עבד כרגיל ביום 4 במאי 2025	2026 § 24 ties the hour to the industrial action; the date is carried from the English encoding's own reading of the clause	NONE	המורה
תוספת אופק 2022 המשתלמת עבור	2022 § 5.1	PARTIAL	תוספת אופק 2022
היחידות	2022 § 22.2 'יחידות גמול'	NONE	
ערך השעה	§ 31 'ערך שעה', definite	EXACT	ערך השעה
ערך השעה עבור	§ 31	PARTIAL	ערך השעה
ערך השעה על בסיס של	§ 31(b) 'אופן חישוב ערך השעה'	PARTIAL	בסיס ערך השעה במקרה 5
שווי קידום הוותק שניתן בספטמבר 2025, אם ניתן	2026 § 16	NONE	הוותק
ערך יחידת גמול אחת	2022 § 22.4 'כל יחידת גמול תהיה שווה לסכום של 200 ₪ לחודש'	NONE	גמול השתלמות
שווי קידום הוותק	2026 § 16 'סכום השווה לעליה במשכורת לה הוא זכאי בשל קידום בוותק'	NONE	הוותק
שבוע העבודה לאחר הפחתת שעות הגיל של	§ 26(a)-(c) 'זכאי להפחתה של שתי שעות הוראה פרונטאליות שבועיות'	PARTIAL	שבוע העבודה לאחר שעות הגיל
השבועות בחודש לעניין זה	§ 31(b) '4.33 (שבועות) X 36 (שעות)'	PARTIAL	מספר השבועות בחודש לעניין ערך שעה
ימי העבודה בשבוע מלא	§ 14 'מורה במשרה מלאה יעבוד 5 ימי עבודה בשבוע'	PARTIAL	ימי העבודה בשבוע — סעיף 14
השנים שניתן לעכב מורה העומד בתנאים לדרגה	§ 38(i) 'לא יימנע קידומו לדרגות 7 - 9 ליותר ממספר השנים כמפורט'	NONE	מספר השנים המרבי שקידום לדרגה 7 יימנע
שנות השהייה שתורמת שנה של	§ 38(c) closing: 'תיחשב שנת השבתון כחצי שנה לעניין פרק זמן השהייה'	NONE	שנות התוקף של אישור שעות ההשלמה
שנות השהייה הנדרשות ליציאה מדרגה	§ 38(b) 'פרקי זמן השהייה הנדרשים'; 'שתי (2) שנות שהיה בדרגה 1'	NONE	שנות שהייה לקידום מדרגה 1 לדרגה 2
תוספת אופק 2022 עבור	2022 § 5	PARTIAL	תוספת אופק 2022
תוספת אופק 2022 מספטמבר 2022 לפי	2022 § 5.1, appendices bet-1/bet-2	PARTIAL	תוספת אופק 2022 לפי נספח
תוספת אופק 2022 מספטמבר 2023 לפי	2022 § 5.2, appendices gimel-1/gimel-2	PARTIAL	תוספת אופק 2022 לפי נספח
יחידות גמול התפקיד הבית ספרי	2022 § 22.2 'יחידות גמול'	NONE	בסיס גמול התפקיד
חופשה ללא תשלום מכל סוג	§ 38(d)(1) 'חופשה ללא תשלום (לסוגיה השונים)'	PARTIAL	חודשי חופשה ללא תשלום
מורה בלתי מוסמך	§ 7(h) 'מורה בלתי מוסמך'	EXACT	מורה בלתי מוסמך
שנות ההמתנה לאחר העמידה בתנאים	§ 38(i) 'אשר מילא את התנאים לקידום'	NONE	שנות ההמתנה בשנה הרביעית
שנות שהייה בדרגה הנוכחית	§ 38(b) 'שנות שהיה בדרגה'	PARTIAL	התקופות בדרגה הנוכחית
